الكود	اسم الحساب	كود مركز التكلفة 	تصنيف الحساب	قائمة العرض
5142	تكلفة مستلزمات عناية	CC-3200	المصروفات	قائمة الدخل
5143	تكلفة مستهلكات عناية	CC-3200	المصروفات	قائمة الدخل
5144	تكلفة زيارات استشاريين العناية	CC-3200	المصروفات	قائمة الدخل
5145	تكلفة خدمات اشعة ايكو مقدمة للعناية	CC-3200	المصروفات	قائمة الدخل
5146	تكلفة خدمات اشعة (طيبة) مقدمة للعناية	CC-3200	المصروفات	قائمة الدخل
515	تكلفة المختبر	CC-3500	المصروفات	قائمة الدخل
5151	تكلفة مستلزمات المختبر	CC-3500	المصروفات	قائمة الدخل
5152	تكلفة انتقالات عينات وخدمات معامل خارجية	CC-3500	المصروفات	قائمة الدخل
516	تسويات وجرد المخزون	—	المصروفات	قائمة الدخل
5161	عجز جرد	—	المصروفات	قائمة الدخل
51611	عجز جرد مخزن رئيسي	CC-9000	المصروفات	قائمة الدخل
51612	عجز جرد مخزن صيدلية خارجية	CC-3900	المصروفات	قائمة الدخل
51613	عجز جرد مخزن صيدلية داخلية	CC-3800	المصروفات	قائمة الدخل
51614	عجز جرد مخزن عمليات	CC-3100	المصروفات	قائمة الدخل
51615	عجز جرد مخزن العناية	CC-3200	المصروفات	قائمة الدخل
51616	عجز جرد مخزن التعقيم	CC-4100	المصروفات	قائمة الدخل
5162	زيادة جرد	—	المصروفات	قائمة الدخل
51621	زيادة جرد مخزن رئيسي	CC-9000	المصروفات	قائمة الدخل
51622	زيادة جرد مخزن صيدلية خارجية	CC-3900	المصروفات	قائمة الدخل
51623	زيادة جرد مخزن صيدلية داخلية	CC-3800	المصروفات	قائمة الدخل
51624	زيادة جرد مخزن عمليات	CC-3100	المصروفات	قائمة الدخل
51625	زيادة جرد مخزن العناية	CC-3200	المصروفات	قائمة الدخل
51626	زيادة جرد مخزن التعقيم	CC-4100	المصروفات	قائمة الدخل
517	تكلفة خدمات تمريضية بسيطة	—	المصروفات	قائمة الدخل
5171	تكلفة مستلزمات خدمات تمريضية	CC-3100 / CC-3200 / CC-3400 / CC-3950	المصروفات	قائمة الدخل
519	مصروف داخلي	—	المصروفات	قائمة الدخل
5191	مصروف داخلي مجمع	CC-32391 / CC-32392	المصروفات	قائمة الدخل
5199	تكاليف مباشرة مستقبلية (Placeholder)	—	المصروفات	قائمة الدخل
52	مصروفات غير مباشرة	—	المصروفات	قائمة الدخل
521	اجور ومرتبات ومكافآت	CC-5300	المصروفات	قائمة الدخل
5211	اجور الاطباء (لكل قسم)	—	المصروفات	قائمة الدخل
52111	اجور اطباء العمليات	CC-3100	المصروفات	قائمة الدخل
52112	اجور اطباء العناية	CC-3200	المصروفات	قائمة الدخل
52113	اجور اطباء المعمل	CC-3500	المصروفات	قائمة الدخل
52114	اجور اطباء العيادات الخارجية	CC-3950	المصروفات	قائمة الدخل
5212	اجور التمريض (لكل قسم)	—	المصروفات	قائمة الدخل
52121	اجور تمريض العمليات	CC-3100	المصروفات	قائمة الدخل
52122	اجور تمريض العناية	CC-3200	المصروفات	قائمة الدخل
52123	اجور تمريض العيادات	CC-3950	المصروفات	قائمة الدخل
52124	اجور تمريض التعقيم	CC-4100	المصروفات	قائمة الدخل
52125	اجور تمريض الاقامات	CC-3400	المصروفات	قائمة الدخل
52126	اجور تمريض المختبر	CC-3500	المصروفات	قائمة الدخل
5213	اجور الاداريين والمديرين الفنيين	—	المصروفات	قائمة الدخل
52131	اجور اداريين العمليات	CC-3100	المصروفات	قائمة الدخل
52132	اجور اداريين العناية	CC-3200	المصروفات	قائمة الدخل
52133	اجور اداريين المختبر	CC-3500	المصروفات	قائمة الدخل
52134	اجور مدير فني المستشفى	CC-5100	المصروفات	قائمة الدخل
52135	اجور مدير فني العناية	CC-3200	المصروفات	قائمة الدخل
52136	اجور مدير فني المختبر	CC-3500	المصروفات	قائمة الدخل
52137	اجور مدير مسئول المختبر	CC-3500	المصروفات	قائمة الدخل
52138	اجور مسئولين C-ARM العمليات	CC-3100	المصروفات	قائمة الدخل
52139	اجور مسئولين التخدير العمليات	CC-3100	المصروفات	قائمة الدخل
52140	اجور اداريين الاقامات	CC-3400	المصروفات	قائمة الدخل
5214	اجور العمال	—	المصروفات	قائمة الدخل
52141	اجور عمال العمليات	CC-3100	المصروفات	قائمة الدخل
52142	اجور عمال العناية	CC-3200	المصروفات	قائمة الدخل
52143	اجور عمال الاقامات	CC-3400	المصروفات	قائمة الدخل
52144	اجور عمال المختبر	CC-3500	المصروفات	قائمة الدخل
5215	مكافآت وبدلات	—	المصروفات	قائمة الدخل
52151	مكافآت وبونص التمريض	—	المصروفات	قائمة الدخل
521511	مكافآت وبونص تمريض العمليات	CC-3100	المصروفات	قائمة الدخل
521512	مكافآت وبونص تمريض الاقامات	CC-3400	المصروفات	قائمة الدخل
521513	مكافآت وبونص تمريض العناية	CC-3200	المصروفات	قائمة الدخل
52152	مكافآت الاداريين	—	المصروفات	قائمة الدخل
521521	مكافآت وبونص اداريين المختبر	CC-3500	المصروفات	قائمة الدخل
521522	مكافآت وبونص اداريين العناية	CC-3200	المصروفات	قائمة الدخل
521523	مكافآت وبونص اداريين العمليات	CC-3100	المصروفات	قائمة الدخل
521524	مكافآت وبونص اداريين الاقامات	CC-3400	المصروفات	قائمة الدخل
52153	مكافآت العمال	—	المصروفات	قائمة الدخل
521531	مكافآت وبونص عمال العمليات	CC-3100	المصروفات	قائمة الدخل
521532	مكافآت وبونص عمال العناية	CC-3200	المصروفات	قائمة الدخل
521533	مكافآت وبونص عمال العيادات	CC-3950	المصروفات	قائمة الدخل
52154	عمولات الاطباء	—	المصروفات	قائمة الدخل
521541	عمولات اطباء المختبر	CC-3500	المصروفات	قائمة الدخل
521542	عمولات اطباء العناية	CC-3200	المصروفات	قائمة الدخل
5216	اجور ومكافآت الصيدليات	—	المصروفات	قائمة الدخل
52161	اجر مدير صيدلية خارجية	CC-3900	المصروفات	قائمة الدخل
52162	اجر مدير صيدلية داخلية	CC-3800	المصروفات	قائمة الدخل
52163	اجر صاحب صيدلية	CC-3900	المصروفات	قائمة الدخل
52164	اجور صيادلة داخلي	CC-3800	المصروفات	قائمة الدخل
52165	اجور صيادلة خارجي	CC-3900	المصروفات	قائمة الدخل
52166	اجور مساعدين صيدلية داخلي	CC-3800	المصروفات	قائمة الدخل
52167	اجور مساعدين صيدلية خارجي	CC-3900	المصروفات	قائمة الدخل
52168	اجر كاشير صيدلية داخلي	CC-3800	المصروفات	قائمة الدخل
52169	اجر كاشير صيدلية خارجي	CC-3900	المصروفات	قائمة الدخل
5219	بونص ومكافآت	—	المصروفات	قائمة الدخل
52191	بونص صيدلية خارجية	CC-3900	المصروفات	قائمة الدخل
52192	بونص صيدلية داخلية	CC-3800	المصروفات	قائمة الدخل
522	مصروفات المرافق	—	المصروفات	قائمة الدخل
5221	كهرباء (حسب كل قسم)	—	المصروفات	قائمة الدخل
52211	كهرباء العمليات	CC-3100	المصروفات	قائمة الدخل
52212	كهرباء العناية	CC-3200	المصروفات	قائمة الدخل
52213	كهرباء الحضانة	CC-3400	المصروفات	قائمة الدخل
52214	كهرباء الاقامات	CC-3400	المصروفات	قائمة الدخل
52215	كهرباء المختبر	CC-3500	المصروفات	قائمة الدخل
52216	كهرباء الايكو	CC-3700	المصروفات	قائمة الدخل
52217	كهرباء العيادات الخارجية	CC-3950	المصروفات	قائمة الدخل
52218	كهرباء الصيدلية الخارجية	CC-3900	المصروفات	قائمة الدخل
52219	كهرباء الصيدلية الداخلية	CC-3800	المصروفات	قائمة الدخل
5222	مياه (حسب كل قسم)	—	المصروفات	قائمة الدخل
52221	مياه الاقامات	CC-3400	المصروفات	قائمة الدخل
52222	مياه العمليات	CC-3100	المصروفات	قائمة الدخل
52223	مياه الصيدلية الخارجية	CC-3900	المصروفات	قائمة الدخل
52224	مياه العناية	CC-3200	المصروفات	قائمة الدخل
52225	مياه المختبر	CC-3500	المصروفات	قائمة الدخل
52226	مياه العيادات الخارجية	CC-3950	المصروفات	قائمة الدخل
52227	مياه الصيدلية الداخلية	CC-3800	المصروفات	قائمة الدخل
5223	محروقات (حسب كل قسم)	—	المصروفات	قائمة الدخل
52231	محروقات العمليات	CC-3100	المصروفات	قائمة الدخل
52232	محروقات العناية	CC-3200	المصروفات	قائمة الدخل
52233	محروقات الحضانة	CC-3400	المصروفات	قائمة الدخل
52234	محروقات الاقامات	CC-3400	المصروفات	قائمة الدخل
52235	محروقات العيادات الخارجية	CC-3950	المصروفات	قائمة الدخل
5224	سولار وزيت	CC-4720	المصروفات	قائمة الدخل
52241	سولار وزيت العمليات	CC-3100	المصروفات	قائمة الدخل
52242	سولار وزيت الاقامات	CC-3400	المصروفات	قائمة الدخل
52243	سولار وزيت المختبر	CC-3500	المصروفات	قائمة الدخل
52244	سولار وزيت العيادات	CC-3950	المصروفات	قائمة الدخل
52245	سولار وزيت الصيدلية	CC-3800 / CC-3900	المصروفات	قائمة الدخل
5225	رفع زبالة	CC-4850	المصروفات	قائمة الدخل
52251	رفع زبالة العمليات	CC-3100	المصروفات	قائمة الدخل
52252	رفع زبالة الاقامات	CC-3400	المصروفات	قائمة الدخل
52253	رفع زبالة المختبر	CC-3500	المصروفات	قائمة الدخل
52254	رفع زبالة العيادات	CC-3950	المصروفات	قائمة الدخل
52255	رفع زبالة العناية	CC-3200	المصروفات	قائمة الدخل
5226	مسئولية قانونية للمصعد	CC-4700	المصروفات	قائمة الدخل
5227	مكافآت الامن لتشغيل الاكسجين	CC-5100	المصروفات	قائمة الدخل
5228	مكافآت الطعوم	CC-5100	المصروفات	قائمة الدخل
5229	مكافآت تنظيف الالواح الشمسية	CC-4710	المصروفات	قائمة الدخل
523	مصروفات صيانة واصلاح	—	المصروفات	قائمة الدخل
5231	اصلاح وصيانة عامة	—	المصروفات	قائمة الدخل
52311	عمليات اصلاح وصيانة	CC-3100	المصروفات	قائمة الدخل
52312	اقامات اصلاح وصيانة	CC-3400	المصروفات	قائمة الدخل
52313	صيدلية خارجية اصلاح وصيانة	CC-3900	المصروفات	قائمة الدخل
52314	صيدلية داخلية اصلاح وصيانة	CC-3800	المصروفات	قائمة الدخل
52315	عناية اصلاح وصيانة	CC-3200	المصروفات	قائمة الدخل
52316	C-ARM اصلاح وصيانة	CC-3100	المصروفات	قائمة الدخل
52317	اجهزة مختبر اصلاح وصيانة	CC-3500	المصروفات	قائمة الدخل
52318	اجهزة التعقيم اصلاح وصيانة	CC-4100	المصروفات	قائمة الدخل
5232	سباكة	CC-5100	المصروفات	قائمة الدخل
52321	سباكة عامة	CC-5100	المصروفات	قائمة الدخل
52322	سباكة العمليات	CC-3100	المصروفات	قائمة الدخل
52323	سباكة الاقامات	CC-3400	المصروفات	قائمة الدخل
5234	صيانة مصعد	CC-4700	المصروفات	قائمة الدخل
52341	صيانة مصعد قبلي	CC-4711	المصروفات	قائمة الدخل
52342	صيانة مصعد الاطباء	CC-4712	المصروفات	قائمة الدخل
52343	صيانة مصعد العمليات	CC-4713	المصروفات	قائمة الدخل
52344	صيانة مصعد الاوسط	CC-4714	المصروفات	قائمة الدخل
5235	صيانة ديزل	CC-4720	المصروفات	قائمة الدخل
5236	مطبوعات (حسب كل قسم)	—	المصروفات	قائمة الدخل
52361	مطبوعات الصيدلية الخارجية	CC-3900	المصروفات	قائمة الدخل
52362	مطبوعات العمليات	CC-3100	المصروفات	قائمة الدخل
52363	مطبوعات الصيدلية الداخلية	CC-3800	المصروفات	قائمة الدخل
52364	مطبوعات المختبر	CC-3500	المصروفات	قائمة الدخل
52365	مطبوعات العناية	CC-3200	المصروفات	قائمة الدخل
52366	مطبوعات الاقامات	CC-3400	المصروفات	قائمة الدخل
52367	شنط تعبئة صيدلية داخلية	CC-3800	المصروفات	قائمة الدخل
52368	شنط تعبئة صيدلية خارجية	CC-3900	المصروفات	قائمة الدخل
5239	صيانة واصلاح مستقبلية (Placeholder)	—	المصروفات	قائمة الدخل
524	مصروفات ادارية وعمومية	CC-5100	المصروفات	قائمة الدخل
5241	مصاريف شحن واخرى	CC-5100	المصروفات	قائمة الدخل
52410	وجبات وتشغيل	CC-5100	المصروفات	قائمة الدخل
524101	وجبات عادية للعاملين	CC-5100	المصروفات	قائمة الدخل
524102	وجبات رمضان – الصيدلية	CC-3900	المصروفات	قائمة الدخل
524103	وجبات رمضان – العمليات والاقامات	CC-3100 / CC-3400	المصروفات	قائمة الدخل
524104	وجبات رمضان – العناية المركزة	CC-3200	المصروفات	قائمة الدخل
524105	وجبات رمضان – المختبر	CC-3500	المصروفات	قائمة الدخل
52411	اشتراكات برامج وانظمة	CC-5100	المصروفات	قائمة الدخل
524111	اشتراك برنامج ERP / HIS	CC-5100	المصروفات	قائمة الدخل
52412	انتقالات وماموريات	CC-5100	المصروفات	قائمة الدخل
524122	انتقالات ادارية وتشغيلية	CC-5100	المصروفات	قائمة الدخل
5242	مصروفات نظافة (مقسّمة)	CC-4840	المصروفات	قائمة الدخل
52421	مواد نظافة الصيدلية الخارجية	CC-3900	المصروفات	قائمة الدخل
52422	مواد نظافة الصيدلية الداخلية	CC-3800	المصروفات	قائمة الدخل
52423	مواد نظافة العمليات	CC-3100	المصروفات	قائمة الدخل
52424	مواد نظافة الاقامات	CC-3400	المصروفات	قائمة الدخل
52425	مواد نظافة العناية	CC-3200	المصروفات	قائمة الدخل
52426	مواد نظافة التعقيم	CC-4100	المصروفات	قائمة الدخل
52427	شنط احمر/اسود عمليات	CC-3100	المصروفات	قائمة الدخل
52428	شنط احمر/اسود اقامات	CC-3400	المصروفات	قائمة الدخل
52429	شنط احمر/اسود عناية	CC-3200	المصروفات	قائمة الدخل
5243	مصاريف صندوق طوارئ المختبر	CC-3500	المصروفات	قائمة الدخل
5244	مصروفات اخرى	CC-5100	المصروفات	قائمة الدخل
52441	تبرعات	CC-5100	المصروفات	قائمة الدخل
52442	ادوات كتابية صيدلية خارجية	CC-3900	المصروفات	قائمة الدخل
52443	ادوات كتابية الاقامات	CC-3400	المصروفات	قائمة الدخل
52444	ورق باركود للكاشير	CC-5210	المصروفات	قائمة الدخل
52445	ادوات كتابية العمليات	CC-3100	المصروفات	قائمة الدخل
52446	علاقات عامة	CC-5100	المصروفات	قائمة الدخل
52447	ضيافة	CC-5100	المصروفات	قائمة الدخل
52448	ورق تصوير صيدلية خارجية	CC-3900	المصروفات	قائمة الدخل
52449	ورق تصوير صيدلية داخلية	CC-3800	المصروفات	قائمة الدخل
5245	مصروفات بنكية وعمولات تحويل	CC-5100 / حسب القسم	المصروفات	قائمة الدخل
52451	عمولات صيدلية خارجية	CC-3900	المصروفات	قائمة الدخل
52452	عمولات صيدلية داخلية	CC-3800	المصروفات	قائمة الدخل
52453	عمولات عمليات	CC-3100	المصروفات	قائمة الدخل
52454	عمولات المختبر	CC-3500	المصروفات	قائمة الدخل
5246	مصروفات اتصالات ونظم	CC-5100	المصروفات	قائمة الدخل
52461	اشتراك انترنت شهري	CC-5100	المصروفات	قائمة الدخل
52462	فواتير محمول	CC-5100	المصروفات	قائمة الدخل
5247	دعاية وتسويق	CC-5100	المصروفات	قائمة الدخل
52471	دعاية واعلان	CC-5100	المصروفات	قائمة الدخل
5248	اتعاب مهنيين واستشارية	CC-5100	المصروفات	قائمة الدخل
52481	اتعاب محاسب قانوني	CC-5100	المصروفات	قائمة الدخل
52482	اتعاب محاماة	CC-5100	المصروفات	قائمة الدخل
52483	اتعاب استشارات ادارية / IT	CC-5100	المصروفات	قائمة الدخل
5249	رسوم حكومية ودمغات	CC-5100	المصروفات	قائمة الدخل
52491	رسوم حكومية	CC-5100	المصروفات	قائمة الدخل
52492	دمغات ونماذج رسمية	CC-5100	المصروفات	قائمة الدخل
525	مصروفات الاهلاك	—	المصروفات	قائمة الدخل
5251	اهلاك الصيدليات	CC-3800 / CC-3900	المصروفات	قائمة الدخل
5252	اهلاك العمليات	CC-3100	المصروفات	قائمة الدخل
5253	اهلاك بنك الدم	CC-3980	المصروفات	قائمة الدخل
5254	اهلاك المختبر	CC-3500	المصروفات	قائمة الدخل
5255	اهلاك العناية المركزة	CC-3200	المصروفات	قائمة الدخل
5256	اهلاك الاقامات	CC-3400	المصروفات	قائمة الدخل
5257	اهلاك الايكو	CC-3700	المصروفات	قائمة الدخل
5258	مصروف اطفاء اصول غير ملموسة	CC-6000	المصروفات	قائمة الدخل
5259	اهلاك مستقبلي (Placeholder)	—	المصروفات	قائمة الدخل
526	خسائر ائتمانية متوقعة	—	المصروفات	قائمة الدخل
527	تكاليف تشغيل – غازات وكيماويات	—	المصروفات	قائمة الدخل
5271	مستهلكات تعقيم	CC-4100	المصروفات	قائمة الدخل
5272	كيماويات / محاليل	CC-4100	المصروفات	قائمة الدخل
5273	ادوات تنظيف وحدة التعقيم	CC-4100	المصروفات	قائمة الدخل
5274	غازات طبية – العمليات	CC-3100	المصروفات	قائمة الدخل
5275	غازات طبية – العناية	CC-3200	المصروفات	قائمة الدخل
5276	غازات طبية – الاقامات	CC-3400	المصروفات	قائمة الدخل
5279	تكاليف تشغيل طبية اخرى	—	المصروفات	قائمة الدخل
528	مخصص قضايا	—	المصروفات	قائمة الدخل
5281	مصروف تكوين مخصص قضايا	—	المصروفات	قائمة الدخل
529	مصروفات اخرى	—	المصروفات	قائمة الدخل
5291	مصروف ضريبة دخل	—	المصروفات	قائمة الدخل
5292	فروق جرد نقدية صيدلية خارجية	CC-3900	المصروفات	قائمة الدخل
52920	فروق جرد نقدية (مدين)	CC-3900	المصروفات	قائمة الدخل
52921	فروق جرد نقدية (عنتر)	CC-3900	المصروفات	قائمة الدخل
52922	فروق جرد نقدية (حمدي)	CC-3900	المصروفات	قائمة الدخل
52923	فروق جرد نقدية (الطوخي)	CC-3900	المصروفات	قائمة الدخل
5293	فروق جرد نقدية صيدلية داخلية	CC-3800	المصروفات	قائمة الدخل
52931	فروق جرد نقدية (عمرو – الثامن)	CC-3800	المصروفات	قائمة الدخل
52932	فروق جرد نقدية (حسين – الثامن)	CC-3800	المصروفات	قائمة الدخل
5294	فروق جرد نقدية العمليات	CC-3100	المصروفات	قائمة الدخل
52941	فروق جرد نقدية (سيف)	CC-3100	المصروفات	قائمة الدخل
52942	فروق جرد نقدية استقبال الاقامات	CC-3400	المصروفات	قائمة الدخل
5295	فروق جرد نقدية العناية	CC-3200	المصروفات	قائمة الدخل
5296	فروق جرد نقدية المختبر	CC-3500	المصروفات	قائمة الدخل
5297	فروق جرد نقدية اخرى	CC-5100	المصروفات	قائمة الدخل
5299	مصروفات متنوعة مستقبلية (Placeholder)	—	المصروفات	قائمة الدخل
